Quantity,Value,Footprint,Reference
1,PH2.0-2PWB,PH2.0-2PWB,BAT1
2,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C1, C12"
5,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C2, C5, C6, C8, C10"
1,LED/YELLOW/0603,LED_0603_KA,CHARGING1
3,1N5822/SS34/SMA,SMA-KA,"D2, D3, D4"
1,B-V-14-LF,GBH-254-SMT-14,EXT1
1,WPM2015-3/TR,SOT23,FET1
1,2.2uH/3A/YS75/7x8,YS75_7X8MM,L1
1,1.0uH/2.5A/DCR=30mR/20%/3.00x3.00x1.50mm/CD32(SWPA3015S1R0MT),CD32,L2
1,PH2.0-3PWB,PH2.0-3PWB,PWR_In/Out1
1,LED/RED/0603,LED_0603_KA,PWR_LED1
1,SS-12D11G5,SS-12D11G5,PWR_OFF/ON1
2,2.2k/R0402,R_0402_5MIL_DWS,"R1, R3"
4,10k/R0402,R_0402_5MIL_DWS,"R2, R4, R15, R17"
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R5, R6"
1,8.25k/1%/R0402,R_0402_5MIL_DWS,R7
1,1.05k/1%/R0402,R_0402_5MIL_DWS,R8
2,220k/R0402,R_0402_5MIL_DWS,"R9, R11"
1,49.9k/1%/R0402,R_0402_5MIL_DWS,R10
2,470k/R0402,R_0402_5MIL_DWS,"R12, R13"
1,150k/R0402,R_0402_5MIL_DWS,R14
1,BL4054B-42TPRN(SOT23-5),SOT-23-5,U1
1,CH32V003F4P6(TSSOP20),TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm,U2
1,TPS62A02ADRLR(SOT-563-6),SOT-563-6,U3
1,MT3608(SOT23-6),SOT23-6,U4
4,P-B-V-10-LF,GBH-254-SMT-10,"UEXT1, UEXT2, UEXT3, UEXT4"
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-PWR_In1
1,SH1.0-10P-90D,SM10B-SRSS-TB,pUEXT1
